condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB	two-parent	1	2	P16	2.53722910277463
RM	YNB	WE	0	2	P4	2.38653352859002
RM	YNB	two-parent	1	2	P16	2.66253678421022
RM	YNB	WE	0	2	P5	2.36531462419546
RM	YNB	two-parent	1	2	P17	2.52273036367809
RM	YNB	WE	0	2	P5	2.06142263699372
RM	YNB	two-parent	1	2	P17	2.14808483528224
RM	YNB	WE	0	2	P6	1.60827911423023
RM	YNB	WE	0	2	P6	1.64317511120077
RM	YNB	WE	0	2	P7	1.68421851986349
RM	YNB	WE	0	2	P7	1.7026780410679
RM	YNB	WE	0	2	P6	1.7145518182745
RM	YNB	WE	0	2	P6	1.74580658609337
RM	YNB	WE	0	2	P7	1.73463724052478
RM	YNB	WE	0	2	P7	1.7093994866874
RM	YNB	WE	0	2	P8	1.89222853515636
RM	YNB	WE	0	2	P8	1.8040917189409
RM	YNB	WE	0	2	P9	1.111873970703
RM	YNB	WE	0	2	P9	1.01795754034866
RM	YNB	WE	0	2	P10	1.05252659034509
RM	YNB	WE	0	2	P10	1.09968075047648
RM	YNB	WE	0	2	P11	0.978597203871053
RM	YNB	WE	0	2	P11	1.00520100129707
RM	YNB	WE	0	2	P12	1.02244867681679
RM	YNB	WE	0	2	P12	1.17599529475535
RM	YNB	WE	0	2	P13	1.03829201879708
RM	YNB	WE	0	2	P13	1.00906533604457
RM	YNB	WE	0	2	P14	1.14950969049194
RM	YNB	WE	0	2	P14	1.24113724135579
RM	YNB	WE	0	2	P15	1.28839576339797
RM	YNB	WE	0	2	P15	1.27483416363317
RM	YNB	four-parent	1	0	P0	1.76890177955268
